shopid,shop_name,shop_location,shop_rating,shopee_verified,Shopdacbiet,Shopxuhuong
423353965,stn.wow,Hưng Yên,4.848532,False,1.0,0.0
373659258,ptkorder,Hà Nội,4.953715,True,0.0,0.0
569833100,S.E.N clothing,Hà Nội,4.754505,True,0.0,0.0
297542131,Fashion DuongHoa,Hà Nội,4.805179,True,0.0,0.0
114771968,2monday cloth,Hà Nội,4.848246,True,0.0,1.0
307155489,Bosimaz - Thời Trang Nữ,TP. Hồ Chí Minh,4.93539,False,1.0,0.0
504639820,BOM HOUSE OFFICIAL,TP. Hồ Chí Minh,4.896655,True,0.0,0.0
494371393,OKÉLLA CLOSET,TP. Hồ Chí Minh,4.88937,True,0.0,1.0
146822363,Molly Fashion,TP. Hồ Chí Minh,4.90457,True,0.0,0.0
68278688,XƯỞNG SẢN XUẤT LEGGING- BAGGY,Hà Nội,4.833578,True,0.0,0.0
450374282,Finestudio.vn,Nước ngoài,4.748362,True,0.0,0.0
11802225,18 October,Hà Nội,4.891264,True,0.0,0.0
469529499,I'm Basic Unisex HN,Hà Nội,4.853342,True,1.0,1.0
52961143,xuongmaythunguyen,Hà Nội,4.770965,True,1.0,0.0
225269509,XuongMayHaHa,Hà Nội,4.833116,True,1.0,0.0
121678875,ANNAKIKI,Hà Nội,4.879161,False,0.0,0.0
129046514,Xưởng May Thu Thảo ,Hà Nội,4.871311,True,0.0,0.0
38903374,MonJeanShop,TP. Hồ Chí Minh,4.898894,True,1.0,0.0
95273776,Linglongxin,Nước ngoài,4.800066,True,0.0,0.0
10931069,phukienmayva,Hà Nội,4.858677,False,0.0,0.0
151237226,Giá Sỉ AZ Bán Lẻ = Giá Sỉ,TP. Hồ Chí Minh,4.824636,True,0.0,0.0
35296526,AdamZone,Hà Nội,4.884845,True,0.0,0.0
253542207,tinching.vn,Nước ngoài,4.698247,True,0.0,0.0
99775928,st.men,Hà Nội,4.753284,False,0.0,0.0
102060119,Mạnh cữ gá - may vá cùng bạn,Hưng Yên,4.822581,False,0.0,0.0
322530470,ewann.vn,Nước ngoài,4.917292,False,0.0,0.0
8604870,vazano,TP. Hồ Chí Minh,4.692005,True,1.0,0.0
308087494,zhanshui468.vn,Nước ngoài,4.69042,True,0.0,0.0
170793154,SHOP. NÓN GIÁ XƯỞNG,Bình Định,4.842528,False,1.0,0.0
80244949,wishmart.vn,Nước ngoài,4.658915,False,0.0,0.0
295795932,Yixinzi.vn,Nước ngoài,4.721274,False,0.0,0.0
180773508,Siêu rẻ 1996,TP. Hồ Chí Minh,4.755121,False,1.0,1.0
368891596,SIXTY SEVEN,TP. Hồ Chí Minh,4.906363,True,0.0,0.0
95943804,Hạnh Dương Shop,TP. Hồ Chí Minh,4.907763,True,1.0,0.0
6965982,Cana.shop,Hà Nội,4.814386,True,1.0,0.0
35828862,Pinty House,Hà Nội,4.682518,True,0.0,0.0
428359143,BANMA.vn,Nước ngoài,4.73767,False,0.0,0.0
290067937,Giá Sỉ 5S Bán Lẻ Như Giá Sỉ,TP. Hồ Chí Minh,4.866206,False,1.0,0.0
66759508,Shop Nón và Gối,TP. Hồ Chí Minh,4.942274,True,1.0,0.0
102063776,minhtam89.shop,Hà Nội,4.9165,True,1.0,0.0
445009029,Gia Dụng_1688,Lạng Sơn,4.780664,True,0.0,0.0
76188569,babykoko.vn,Nước ngoài,4.70906,False,0.0,0.0
147240305,trangsuc_inoxdep.vn,TP. Hồ Chí Minh,4.817368,True,0.0,0.0
455700993,Dương Nhật Shop,TP. Hồ Chí Minh,4.886654,True,0.0,0.0
734452206,Hiền Cherrys Shop,TP. Hồ Chí Minh,4.943205,True,0.0,0.0
20461492,PhượtT2P,TP. Hồ Chí Minh,4.857939,True,0.0,1.0
477646088,Nón Kết Nam Nữ VHL 1_1,TP. Hồ Chí Minh,4.665663,False,0.0,0.0
27458324,THU HUONG SILVER -THJ,Hải Dương,4.911644,False,0.0,0.0
74804504,yrshop | Beauty&Fashion,Nước ngoài,4.817664,True,0.0,0.0
766980201,Mũ Nón Xu Ka Hiệu,TP. Hồ Chí Minh,4.862222,False,0.0,0.0
87628204,trendystore2018.vn,Nước ngoài,4.720186,True,0.0,0.0
61457401,saigonF,TP. Hồ Chí Minh,4.724687,False,0.0,0.0
258845424,ShopAnhNam.sỉ lẻ PhụKiện,Nam Định,4.764364,False,1.0,0.0
214196144,cap1023.vn,Nước ngoài,4.892791,True,0.0,0.0
736708675,yuenan765.vn,Nước ngoài,4.672912,True,0.0,0.0
421781212,Khăn choàng cổ No.93,Hà Nội,4.92846,False,1.0,0.0
809767609,Cap-Nón(Most),TP. Hồ Chí Minh,4.777778,True,0.0,0.0
25154842,VPP Hồng Tâm(Shop Mẹ Bin),Hà Nội,4.888841,True,1.0,1.0
42435351,ph_hue,Hà Nội,4.618657,True,1.0,0.0
145547131,Non xin viet nam,TP. Hồ Chí Minh,4.832156,True,0.0,0.0
446235045,ivory.vn,Nước ngoài,4.788058,True,0.0,0.0
135241484,beautext.vn,Nước ngoài,4.755706,False,0.0,0.0
207416601,KIDI2ND,TP. Hồ Chí Minh,4.926045,False,0.0,0.0
274481193,monica1986.,Nước ngoài,4.750418,True,0.0,0.0
242759799,nonstore.official,TP. Hồ Chí Minh,4.656795,False,1.0,0.0
384556312,Nón Thiết Kế,Hậu Giang,4.847537,True,1.0,0.0
54416580,Bag King,Hà Nội,4.767539,True,1.0,0.0
24710134,Coolmate - Official Store,Hà Nội,4.922327,False,0.0,0.0
136079689,cotton baby .vn,Nước ngoài,4.868992,True,0.0,0.0
23324641,Giay Dep Big Size,TP. Hồ Chí Minh,4.8818,True,0.0,0.0
